timestamp_ns,cpu_pct,mem_mb
1780341717997880557,1.00,13.66
1780341718997881287,0.00,13.67
1780341719997881237,0.00,13.67
1780341720997880727,0.00,13.67
1780341721997880637,0.00,13.67
1780341722997881337,0.00,13.67
1780341723997880967,0.00,13.67
1780341724997880557,0.00,13.67
1780341725997880757,0.00,13.67
1780341726997880867,0.00,13.67
1780341727997880647,0.00,13.67
1780341728997881137,0.00,13.68
1780341729997880907,0.00,13.69
1780341730997880867,0.00,13.70
1780341731997881107,1.00,14.42
1780341732997881627,0.00,14.43
1780341733997881347,0.00,14.43
1780341734997880997,0.00,14.43
1780341735997881167,0.00,14.43
1780341736997881397,0.00,14.43
1780341737997881327,0.00,14.43
1780341738997881647,0.00,14.43
1780341739997881757,0.00,14.43
1780341740997886287,0.00,14.43
1780341741997881137,0.00,14.43
1780341742997880956,0.00,14.43
1780341743997880667,0.00,14.43
1780341744997880827,0.00,14.43
1780341745997881197,1.00,14.43
1780341746997881167,0.00,14.43
1780341747997880937,0.00,14.43
1780341748997880996,0.00,14.43
1780341749997881547,0.00,14.43
1780341750997881836,0.00,14.43
1780341751997884707,0.00,14.43
1780341752997880927,0.00,14.43
1780341753997880937,0.00,14.43
1780341754997880636,0.00,14.43
1780341755997881367,0.00,14.43
1780341756997881147,0.00,14.44
1780341757997881547,0.00,14.44
1780341758997880857,0.00,14.44
